,first_word,first_POS,first_animacy,first_gender,first_number,first_case,second_word,second_POS,second_person,second_case,second_number,dist,label
0,склонов и откосов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,15,1
1,метод,NOUN,inan,masc,sing,nomn,он,NPRO,3per,nomn,sing,11,1
2,склонов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,8,1
3,древесины,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,4,1
4,материала,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,3,1
5,древесины,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,13,1
6,Гигроскопическая влага,NOUN,inan,femn,sing,nomn,ее,NPRO,3per,accs,sing,14,1
7,Сушкой,NOUN,inan,femn,sing,ablt,Она,NPRO,3per,nomn,sing,11,1
8,влаги,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,5,1
9,материал,NOUN,inan,masc,sing,nomn,нему,NPRO,3per,datv,sing,4,1
10,температуры,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,3,1
11,древесине,NOUN,inan,femn,sing,datv,ее,NPRO,3per,accs,sing,8,1
12,древесины,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,3,1
13,абсолютные значения показателя,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,8,1
14,древесину,NOUN,inan,femn,sing,accs,ее,NPRO,3per,accs,sing,7,1
15,сушки,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,2,1
16,образцов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,3,1
17,величина остаточной прочности,NOUN,inan,femn,sing,nomn,она,NPRO,3per,nomn,sing,17,1
18,часть гигроскопической влаги,NOUN,inan,femn,sing,nomn,ее,NPRO,3per,accs,sing,16,1
19,циклического замачивания,NOUN,inan,neut,sing,gent,его,NPRO,3per,accs,sing,20,1
20,древесными частицами,NOUN,inan,femn,plur,ablt,их,NPRO,3per,accs,plur,2,1
21,молекулами,NOUN,inan,femn,plur,ablt,их,NPRO,3per,accs,plur,3,1
22,Скорость набухания,NOUN,inan,femn,sing,nomn,она,NPRO,3per,nomn,sing,15,1
23,плиты ДВП,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,11,1
24,образцов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,3,1
25,мостов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,7,1
26,балками,NOUN,inan,femn,plur,ablt,них,NPRO,3per,gent,plur,7,1
27,балку,NOUN,inan,femn,sing,accs,ней,NPRO,3per,loct,sing,5,1
28,Тормозная нагрузка,NOUN,inan,femn,sing,nomn,она,NPRO,3per,nomn,sing,16,1
29,мосту,NOUN,inan,masc,sing,loc2,он,NPRO,3per,nomn,sing,3,1
30,Движение временной нагрузки,NOUN,inan,neut,sing,nomn,она,NPRO,3per,nomn,sing,11,1
31,деревянных и железобетонных частей,NOUN,inan,femn,plur,gent,ними,NPRO,3per,ablt,plur,4,1
32,внутренние усилия,NOUN,inan,neut,plur,accs,они,NPRO,3per,nomn,plur,27,1
33,выражения,NOUN,inan,neut,sing,gent,Они,NPRO,3per,nomn,plur,2,1
34,Выражения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,7,1
35,слоёв,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,2,1
36,механических характеристик,NOUN,inan,femn,plur,gent,они,NPRO,3per,nomn,plur,6,1
37,внутренние усилия,NOUN,inan,neut,plur,accs,их,NPRO,3per,accs,plur,8,1
38,временной нагрузки,NOUN,inan,femn,sing,gent,она,NPRO,3per,nomn,sing,5,1
39,слоёв,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,2,1
40,слоёв,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,2,1
41,зданий,NOUN,inan,neut,plur,gent,них,NPRO,3per,gent,plur,7,1
42,сваи,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,2,1
43,балка,NOUN,inan,femn,sing,nomn,ее,NPRO,3per,accs,sing,12,1
44,свая,NOUN,inan,femn,sing,nomn,ее,NPRO,3per,accs,sing,4,1
45,пластинами,NOUN,inan,femn,plur,ablt,их,NPRO,3per,accs,plur,2,1
